Cu,Ni,Al,std
0.14,0.0,0.86,18.025476725705737
0.14,0.02,0.84,18.324352965836077
0.14,0.04,0.82,18.047293008890414
0.14,0.06,0.8,17.284474106313812
0.14,0.08,0.78,16.11462318787079
0.14,0.1,0.76,14.620403228640358
0.14,0.12,0.74,12.893461192469708
0.14,0.14,0.72,11.036377649424436
0.14,0.16,0.7,9.164607237901166
0.14,0.18,0.68,7.413979485871512
0.14,0.2,0.66,5.95786989395159
0.14,0.22,0.64,5.0158755253898235
0.14,0.24,0.62,4.763734159937408
0.14,0.26,0.6,5.134015631772609
0.14,0.28,0.58,5.853289846054811
0.14,0.3,0.56,6.678882598951847
0.14,0.32,0.54,7.4745057844661416
0.14,0.34,0.52,8.177332103961408
0.14,0.36,0.5,8.764537271649049
0.14,0.38,0.48,9.235037657147029
0.14,0.4,0.46,9.600087720242415
0.14,0.42,0.44,9.877792231231021
0.14,0.44,0.42,10.089000882368383
0.14,0.46,0.4,10.25335923392481
0.14,0.48,0.38,10.385071188394422
0.14,0.5,0.36,10.488573306100298
0.14,0.52,0.34,10.554881401350297
0.14,0.54,0.32,10.559698855701038
0.14,0.56,0.3,10.464379566826084
0.14,0.58,0.28,10.22071166383086
0.14,0.6,0.26,9.780753204462023
0.14,0.62,0.24,9.114414868235315
0.14,0.64,0.22,8.24152049982542
0.14,0.66,0.2,7.292900894838095
0.14,0.68,0.18,6.608676029814797
0.14,0.7,0.16,6.738324041486802
0.14,0.72,0.14,8.000579017567663
0.14,0.74,0.12,10.11506970742234
0.14,0.76,0.1,12.56389962009524
0.14,0.78,0.08,14.8858577777951
0.14,0.8,0.06,16.703781630123817
0.14,0.82,0.04,17.694567965562346
0.14,0.84,0.02,17.506385920934378
0.14,0.86,0.0,15.715238632387337
0.16,0.0,0.84,18.48253717960029
0.16,0.02,0.82,18.205791342756996
0.16,0.04,0.8,17.427790838505704
0.16,0.06,0.78,16.216887542470506
0.16,0.08,0.76,14.648588746709555
0.16,0.1,0.74,12.811405928406382
0.16,0.12,0.72,10.807642848464956
0.16,0.14,0.7,8.75477406803953
0.16,0.16,0.68,6.796025877707756
0.16,0.18,0.66,5.135606769050558
0.16,0.2,0.64,4.097195018999244
0.16,0.22,0.62,3.9992148525726563
0.16,0.24,0.6,4.687843678897473
0.16,0.26,0.58,5.70145005609226
0.16,0.28,0.56,6.74161363328395
0.16,0.3,0.54,7.678674937840622
0.16,0.32,0.52,8.462349779835625
0.16,0.34,0.5,9.078357006263468
0.16,0.36,0.48,9.531002248103258
0.16,0.38,0.46,9.835669735052528
0.16,0.4,0.44,10.014971178693052
0.16,0.42,0.42,10.096002883967984
0.16,0.44,0.4,10.107410117595288
0.16,0.46,0.38,10.075497504297264
0.16,0.48,0.36,10.01915248119899
0.16,0.5,0.34,9.944120265712577
0.16,0.52,0.32,9.83804302380004
0.16,0.54,0.3,9.668175856657083
0.16,0.56,0.28,9.3834719951234
0.16,0.58,0.26,8.922193529705407
0.16,0.6,0.24,8.226629160654204
0.16,0.62,0.22,7.270203789235231
0.16,0.64,0.2,6.115462934574204
0.16,0.66,0.18,5.056260141832203
0.16,0.68,0.16,4.825844103289488
0.16,0.7,0.14,6.069544333465165
0.16,0.72,0.12,8.393811502215724
0.16,0.74,0.1,11.114345989574021
0.16,0.76,0.08,13.735270693124498
0.16,0.78,0.06,15.877272846965488
0.16,0.8,0.04,17.22830417679493
0.16,0.82,0.02,17.506018245393474
0.16,0.84,0.0,16.49187168656
0.18,0.0,0.82,18.443367566869632
0.18,0.02,0.8,17.668618234141082
0.18,0.04,0.78,16.46384595402434
0.18,0.06,0.76,14.88257441876094
0.18,0.08,0.74,13.007877981502348
0.18,0.1,0.72,10.939739812091036
0.18,0.12,0.7,8.794805373032041
0.18,0.14,0.68,6.716123829725077
0.18,0.16,0.66,4.913720287521083
0.18,0.18,0.64,3.7595459367685238
0.18,0.2,0.62,3.6874402810435103
0.18,0.22,0.6,4.511801836583126
0.18,0.24,0.58,5.653153718241648
0.18,0.26,0.56,6.783376935700701
0.18,0.28,0.54,7.77429620308921
0.18,0.3,0.52,8.578693474645917
0.18,0.32,0.5,9.18374727943653
